Record ID,Institution Name:,Please indicate your gender:,Please indicate your gender: A gender not listed above,Please indicate your racial/ethnic identity:  (You may select more than one option.),What is your current marital status?  (You may select more than one option.),What is your current marital status? Other:,What is your highest completed degree?  (You may select more than one option.),Degree: Other,How many years have you worked in your profession since completion of your highest degree of training?,What is your neurology focus or clinical specialty?  (You may select more than one option.),Specialty: Other,Please indicate your current appointment:  (You may select more than one option.),Track: Other,Please indicate your current academic rank:,Academic Rank: Other,Please indicate the number of years spent in your current rank:,"In your career as faculty, have you had any leadership title or role?","In your career as faculty, how many leadership positions have you held?","What is the highest incentivized leadership position have you had?  (Incentives may be monetary, less clinic time, etc.)","As faculty, on average, how many publications have you published per year in peer-reviewed journals over the last 5 years?",How many publications were you first or last author?,"What is the total number of funded projects or studies to date?  (A funded project or study is defined as one for which you were a principal investigator (PI), co-PI, site PI, or co-investigator receiving salary support.)",Please select the types of funding sources for your projects or studies.  (You may select more than one option.),Funding Sources: Other,"What is the maximum funding for a single grant or funding source you have received as faculty? (in US dollars, including total cost (direct and indirect))","As faculty, how many total awards have you received to date?",At which level were the awards given?  (You may select more than one option.),Level of awards: Other,"As faculty, how many total times have you been invited as a guest speaker?  (A guest speaking engagement is defined as occurring outside your current department ex. grand rounds, workshop lead, panelist.)",At which level were the guest speaking engagements given?  (You may select more than one option.),Level of guest speaking arrangements: Other,Pre-COVID: How many hours per week on average did you work?,What is your employment status?,Employment Status: Other,What is your part time FTE?,Are you content with your current compensation?,Why are you not content with your current compensation?  (This question is not mandatory.),What components does your current compensation include?  (You may select more than one option.),What operational incentive(s) do(es) your current compensation plan include?  (You may select more than one option.),What operational incentives does your current compensation plan include? Other:,Research/scholarship (% Allocated Effort),Research/scholarship (% Actual Effort),Teaching (% Allocated Effort),Teaching (% Actual Effort),Service (% Allocated Effort),Service (% Actual Effort),Clinical (% Allocated Effort),Clinical (% Actual Effort),"From July 1, 2019 to June 30, 2020, how many weeks of inpatient service did you have?",Administrative (% Allocated Effort),Administrative (% Actual Effort),Total Effort: Other,Other (% Allocated Effort),Other (% Actual Effort),% Allocated Total,% Actual Total,"I have dedicated career sponsorship. (Sponsorship is defined as one being put forward for opportunities, such as leadership roles, awards, or speaking engagements, by a sponsor.)",Sponsorship has resulted in personal career advancement.,"I have dedicated career mentorship. (Mentorship is defined as a positive role model who supports their mentee by, for example, giving advice, sharing resources, providing guidance.)",Mentorship has resulted in personal career advancement.,"At my current institution, there is gender diversity in leadership positions.",My perception is that there is gender equity in pay at my current institution.,Implicit gender bias has negatively impacted my career advancement.,My current department has programs to enhance gender equity.,Gender equity programs at my current institution are helpful.,"Have you ever taken parental leave (eg, maternity leave, paternity leave, adoption)?",Were you content with your parental leave time and support at your current and/or past institution?,Why were you not content with your parental leave time and support at your current and/or past institution?  (You may select more than one option.),Why were you not content with your parental leave time and support at your current and/or past institution? Other:,How much total paid time did you take for parental leave at your current institution as a faculty member?,How much total paid time did you take for parental leave at your current institution as a faculty member? Other:,How much total paid time did you take for parental leave at your past institution as a faculty member?,How much total paid time did you take for parental leave at your past institution as a faculty member? Other:,How much total unpaid time did you take for parental leave at your current institution as a faculty member?,How much total unpaid time did you take for parental leave at your current institution as a faculty member? Other:,How much total unpaid time did you take for parental leave at your past institution as a faculty member?,How much total unpaid time did you take for parental leave at your past institution as a faculty member? Other:,Did you breastfeed/pump at work when you had your child(ren)?,"On average, how many total number of months have you dedicated to breastfeeding/pumping per child as a faculty member?",How many more months longer would you have breastfed/pumped per child?,There was adequate time for lactation.,Clinical time was blocked for lactation.,There was flexibility in work schedule for lactation.,There was a designated space for private lactation.,RVU expectation was adjusted for lactation time.,Lactation time was paid.,I felt supported in my lactation effort by my employer.,I felt supported in my lactation effort by co-workers.,"Overall, I felt satisfied with the lactation experience as a working mom.",What is the total number of people in your household?,Are you the primary wage earner for your household?,Is your spouse/partner employed? ,Do you provide dependent care for the following:  (You may select more than one option.),"What is the total number of dependents (eg, children, elderly parent, siblings, differently abled person) you have?",What is/are the age(s) of your child(ren)?  (You may select more than one option.),Pre-COVID: How many hours per week did you spend on childcare?,"Pre-COVID: How many hours per week did you spend on domestic tasks (eg, cleaning, laundry, cooking, lawn care)? This does not include childcare.&nbsp;","Pre-COVID: How many hours per week did you outsource domestic tasks (eg, cleaning, laundry, cooking, lawn care)? This does not include childcare.&nbsp;",Pre-COVID: How many days per year do you take off for dependent/child care?,"Pre-COVID: Does your institution provide backup dependent care (eg, sick days, school/daycare closure) to avoid cancelling clinics?",The demands of my family and/or spouse/partner interfere with my work-related activities.,I have to put off doing things at work because of the demands on my time at home.,Things I want to do at work do not get done because of the demands of my family and/or spouse/partner.,"My home life interferes with my responsibilities at work such as getting to work on time, accomplishing daily tasks, and working overtime.",Family-related strain interferes with my ability to perform job-related duties.,Domestic responsibilities are shared equally with spouse/partner.,Taking care of children when they are sick at home,Taking days off from work when children are sick,"Handling chores related to childcare (eg, laundry, cooking, cleaning)",Managing children's activities and schedule,Playing or doing activities with children,Does your work/career interfere with your personal life?,In what ways does your work/career interfere with your personal life?,Are you interested in answering questions on burnout?,Why are you not interested in answering questions on burnout?,"In general, how do you feel about your time? Would you say that you feel rushed?","Pre-COVID: Overall, based on your definition of burnout, how would you rate your level of burnout?",I deal very effectively with the problems of my patients.,I feel I treat some patients as if they were impersonal objects.,I feel emotionally drained from my work.,I feel fatigued when I get up in the morning and have to face another day on the job.,I've become more callous towards people since I took this job.,I feel I'm positively influencing other people's lives through my work.,Working with people all day is really a strain for me.,I don't really care what happens to some patients.,I feel exhilarated after working closely with my patients.,"What other factors may have impacted your career advancement, if they were not discussed in this survey?","Please let us know if you have additional comments, suggestions, or concerns. Thank you for your input!",Would you like to participate in future gender equity surveys?,Complete?
77,,Woman,,Hispanic/Latino,Single,,MD,,16,Neuro-immunology/MS,,"Academic Track - Research,Non-Tenure",,Professor,,3,Yes,3,current one,3,6,3,"NIH grants,Institutional grants,Not-for-profit organizational grants",,"700,000",15,"Institutional,Local,National,International",,50,"Institutional,Local,Regional,National,International",,41-60 hours/week,Full time,,,No,I was promised a 20K annual bonus based on RVU's but the benchmark was unrealistic for the clinical activities agreed upon in the contract,"Guaranteed base salary (fixed annual salary),Productivity incentive (financial or non-monetary rewards offered for performance)",,,40,30,5,10,5,5,40,50,4,10,20,,,,100,115,Agree,Agree,Neither,Neither,Agree,Neither,Agree,Agree,Neither,No,,,,,,,,,,,,Does not apply,,,,,,,,,,,,4,Yes,,None,,,6-10 hours per week,1-5 hours per week,1-5 hours per week,,,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Disagree (3),,,,,,Sometimes,In order to complete clinic responsibilities I have to work extra hours so I di not spend  my research days catching up with clinic notes,Yes,,Always feel rushed,3 Moderately burned out,A few times per week,Never,A few times per month,A few times per month,A few times per month,Once per week,A few times per year,Never,Once per week,illness in the family,,Yes,Incomplete
80,,A gender not listed above: {genderidentitymisc},,White,Married,,MD,,45,Epilepsy,,Academic Track - Clinical (clinical appointment with academic appointment),,Professor,,30,Yes,5,President American Epilepsy Society,4,1,25,"NIH grants,Foundational grants,Industry trials",,5 million,10,"Institutional,Regional,National,International",,125,"Institutional,Local,Regional,National,International",,21-40 hours/week,Full time,,,Yes,,Guaranteed base salary (fixed annual salary),,,50,50,5,5,0,0,45,45,0,0,0,,0,0,100,100,Very Strongly Agree,Very Strongly Agree,Very Strongly Agree,Very Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Very Strongly Agree,Strongly Agree,No,,,,,,,,,,,,,,,,,,,,,,,,2,Yes,Not employed,None,,,0 hours per week,1-5 hours per week,0 hours per week,,,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),,,,,,Rarely,,No,Survey fatigue,,,,,,,,,,,,none,none,No,Complete
223,,Woman,,White,Married,,MD/PhD,,15,Epilepsy,,"Academic Track - Research,Tenure Track",,Associate Professor,,5,No,,,4,3,10,"NIH grants,Foundational grants",,"1,250,000",0,,,10,"Institutional,National,International",,61-80 hours/week,Full time,,,Prefer not to answer,,Productivity incentive (financial or non-monetary rewards offered for performance),,,10,20,0,10,0,10,90,80,5,0,0,,0,,100,120,Disagree,Disagree,Agree,Agree,Agree,Neither,Neither,Neither,Neither,No,,,,,,,,,,,,No: I did not breastfeed/pump at work,,,,,,,,,,,,4,Equal share with partner,Full-time,Elderly parent/sibling,3,,6-10 hours per week,1-5 hours per week,0 hours per week,1-5 days,No,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),,,,,,Often,"Frequent on-call duties and after hours work, such as clinical notes completion, preparation of didactic lectures",Yes,,Always feel rushed,3 Moderately burned out,Every day,Never,Once per week,Once per week,Never,A few times per month,A few times per month,A few times per year,Once per week,na,thank you,Yes,Incomplete
227,,Woman,,Asian,Married,,MD,,15,Epilepsy,,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Associate Professor,,1,No,,,5,2,2,"NIH grants,Industry trials",,,2,"Institutional,National",,2,"Institutional,Local",,41-60 hours/week,Full time,,,No,"I am not paid to reflect for the RVU's I make and weekend call compensation is not there when we cover 2 services. Bonus for the extra RVU's I make are not reflected adequately, its not even 10% of real RVU equivalent. ","Guaranteed base salary (fixed annual salary),Productivity incentive (financial or non-monetary rewards offered for performance)",,,,,,,,,,90,14,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
260,,Woman,,Prefer not to say,Married,,MD/PhD,,20,Vascular,,Non-Tenure,,Professor,,1,Yes,3,,2,15,40,"Institutional grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,,3,"Institutional,Local,National",,50,"Institutional,Local,Regional,National,International",,61-80 hours/week,Full time,,,No,base salary does not meet national benchmark,"Guaranteed base salary (fixed annual salary),Productivity incentive (financial or non-monetary rewards offered for performance),Operational incentive (examples: financial performance incentive, on-call pay, extra shift pay, medical director pay)","Financial performance incentive,Extra shift pay,Medical director pay",,,,,,,,,,,,,,,,,,Very Strongly Disagree,Agree,Very Strongly Agree,Very Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Very Strongly Disagree,Don't Know,Yes - at both my current and past institution,Yes,,,12 weeks,,12 weeks,,,,,,,,,,,,,,,,,,,,Full-time,,,,6-10 hours per week,11-16 hours per week,0 hours per week,,,Strongly Disagree (2),Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Agree (7),,,,,,Always,"Very frequently on call,  night calls interfere with sleep schedule and energy level during the day, interferes with academic productivity and family life  constant bombardment by messages via email, phone, text, EMR messaging.....  Constant increase in clinical duties  Private calendars are almost completely determined by professional duties and call schedules",Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,A few times per week,Once per week,Once per week,A few times per week,Once per week,Never,Once per week,There are no opportunities for professional growth at my institution at my level of career.   There is no mentorship in my department.  The department has a male dominated hierarchy.   ,,Yes,Incomplete
262,,Woman,,White,Married,,MD/PhD,,20,Vascular,,Non-Tenure,,Professor,,1,Yes,3,several,2,16,50,"Institutional grants,Not-for-profit organizational grants,Foundational grants,Medical societies,Industry trials",,,4,"Institutional,Local,Regional,National",,80,"Institutional,Local,Regional,National,International",,61-80 hours/week,Full time,,,No,base salary is below national benchmark,"Guaranteed base salary (fixed annual salary),Productivity incentive (financial or non-monetary rewards offered for performance),Operational incentive (examples: financial performance incentive, on-call pay, extra shift pay, medical director pay)","Financial performance incentive,Extra shift pay,Medical director pay",,20,20,10,10,,,60,60,10,10,10,,,,100,100,Very Strongly Disagree,Strongly Agree,Very Strongly Disagree,Very Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Very Strongly Disagree,Neither,Yes - at both my current and past institution,Yes,,,12 weeks,,12 weeks,,Doesn't apply,,Doesn't apply,,Does not apply,,,,,,,,,,,,4,,Full-time,Children,2,"11-15 years old,>18 years old",11-16 hours per week,11-16 hours per week,1-5 hours per week,0 days,Don't know,Strongly Disagree (2),Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Agree (7),I do more,I do more,I do more,I do more,I do more,Always,"frequently on call.  frequently on telemedicine call.  Constant interference form calls, pager, text apps, EMR messages....  My work calendar determines my personal calendar",Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,Once per week,Once per week,Once per week,A few times per week,Once per week,Never,A few times per month,There is no culture of departmental mentorship.  There are no opportunities for professional growth in my department or at the institution.,,Yes,Incomplete
391,,Woman,,Black or African American,Single,,MD,,21,Vascular,,Tenure Track,,Assistant Professor,,4,No,,,2,2,1,Institutional grants,,"62,500",1,Institutional,,0,,,41-60 hours/week,Full time,,,No,"There is no transparency as to whether I am being paid the same as my peers. I suspect that I am being paid less, but cannot prove this.","Guaranteed base salary (fixed annual salary),Productivity incentive (financial or non-monetary rewards offered for performance),Operational incentive (examples: financial performance incentive, on-call pay, extra shift pay, medical director pay),Not sure: I do not understand my compensation model",Financial performance incentive,,80,90,0,5,0,1,20,10,2,,,,,,100,106,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,Don't Know,Very Strongly Disagree,Very Strongly Disagree,No,,,,,,,,,,,,Does not apply,,,,,,,,,,,,1,Yes,,,,,0 hours per week,6-10 hours per week,0 hours per week,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,Never,,Yes,,Sometimes feel rushed,1 Not at all burned out,A few times per week,Never,A few times per year,A few times per year,Never,Every day,A few times per year,Never,A few times per week,"Not having a clinical mentor who can mentor and sponsor me. As a minority physician-scientist, in a department where I am only one of three minority physicians, in a department of over 60 faculty, I have not been able to find a clinical mentor to advocate for me when I get professionally bullied by those in leadership in my division with serious consequences of setbacks in my clinical career to date. ",,No,Incomplete
96,7,Man,,White,Married,,DO,,10,"General Neurology Outpatient,Neuromuscular",,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching",,Assistant Professor,,5,Yes,0,,0,,0,,,,1,Institutional,,3,"Institutional,Local",,61-80 hours/week,Full time,,,No,,Productivity incentive (financial or non-monetary rewards offered for performance),,,5,1,25,20,0,0,60,70,6,10,9,,0,0,100,100,Neither,Neither,Strongly Disagree,Strongly Disagree,Strongly Agree,Very Strongly Agree,Neither,Strongly Agree,Agree,No,,,,,,,,,,,,,,,,,,,,,,,,4,Yes,Full-time,Children,2,"3-5 years old,6-10 years old",17-21 hours per week,11-16 hours per week,1-5 hours per week,0 days,Yes,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Disagree (3),Partner does more,Partner does more,Partner does more,Partner does more,Partner does more,Always,"There is no time for a personal life, mostly work, some time for chores.",No,Survey fatigue,,,,,,,,,,,,,,No,Complete
97,7,Man,,Asian,Married,,MD,,9,Epilepsy,,Academic Track - Clinical (clinical appointment with academic appointment),,Associate Professor,,1,Yes,2,Clinical Neurophysiology Fellowship Director,2.8,5,5,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants",,"$506,141 ",5,"Institutional,National",,8,"Institutional,Local,Regional,National,International",,41-60 hours/week,Full time,,,No,The compensation is not commensurate with national standards; income is penalized for time used for education/research/work at county hospital.,"Guaranteed base salary (fixed annual salary),Productivity incentive (financial or non-monetary rewards offered for performance)",,,20.5,20.5,57.5,57.5,0,0,22,22,5,0,0,,,,100,100,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither,Don't Know,Disagree,Don't Know,Don't Know,Yes - at my current institution,Yes,,,Don't know,,,,Don't know,,,,,,,,,,,,,,,,6,Equal share with partner,Full-time,None,,,6-10 hours per week,1-5 hours per week,1-5 hours per week,,,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),,,,,,Sometimes,Taking away from family time,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,Once per month or less,A few times per week,Never,Every day,A few times per year,Never,Every day,,,No,Complete
98,7,Man,,White,Married,,MD,,7,Neuro-oncology,,Academic Track - Clinical (clinical appointment with academic appointment),,Assistant Professor,,7,Yes,2, assistant clerkship site director,21,9,5,Industry trials,cooperative group trials,,2,Institutional,,5,"Local,National,International",,61-80 hours/week,Full time,,,No,,Not sure: I do not understand my compensation model,,,,,,,,,,,,,,,,,,,Strongly Disagree,Don't Know,Disagree,Don't Know,Agree,Agree,Neither,Don't Know,Don't Know,No,,,,,,,,,,,,,,,,,,,,,,,,3,Yes,Full-time,Children,1,1-2 years old,>22 hours per week,1-5 hours per week,11-16 hours per week,1-5 days,Yes,Strongly Agree (6),Very Strongly Agree (7),Very Strongly Agree (7),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Partner does more,Partner does more,Other caregiver,Share equally,I do more,Often,,No,Survey fatigue,,,,,,,,,,,,,,No,Incomplete
