Record ID,Institution Name:,Please indicate your gender:,Please indicate your racial/ethnic identity:  (You may select more than one option.),What is your current marital status?  (You may select more than one option.),Please indicate your current appointment:  (You may select more than one option.),Track: Other,"In your career as faculty, have you had any leadership title or role?","In your career as faculty, how many leadership positions have you held?","What is the highest incentivized leadership position have you had?  (Incentives may be monetary, less clinic time, etc.)","As faculty, on average, how many publications have you published per year in peer-reviewed journals over the last 5 years?",How many publications were you first or last author?,"What is the total number of funded projects or studies to date?  (A funded project or study is defined as one for which you were a principal investigator (PI), co-PI, site PI, or co-investigator receiving salary support.)",Please select the types of funding sources for your projects or studies.  (You may select more than one option.),Funding Sources: Other,"What is the maximum funding for a single grant or funding source you have received as faculty? (in US dollars, including total cost (direct and indirect))","As faculty, how many total awards have you received to date?",At which level were the awards given?  (You may select more than one option.),Level of awards: Other,"As faculty, how many total times have you been invited as a guest speaker?  (A guest speaking engagement is defined as occurring outside your current department ex. grand rounds, workshop lead, panelist.)",At which level were the guest speaking engagements given?  (You may select more than one option.),Level of guest speaking arrangements: Other,The demands of my family and/or spouse/partner interfere with my work-related activities.,I have to put off doing things at work because of the demands on my time at home.,Things I want to do at work do not get done because of the demands of my family and/or spouse/partner.,"My home life interferes with my responsibilities at work such as getting to work on time, accomplishing daily tasks, and working overtime.",Family-related strain interferes with my ability to perform job-related duties.,Domestic responsibilities are shared equally with spouse/partner.,Taking care of children when they are sick at home,Taking days off from work when children are sick,"Handling chores related to childcare (eg, laundry, cooking, cleaning)",Managing children's activities and schedule,Playing or doing activities with children,Does your work/career interfere with your personal life?,In what ways does your work/career interfere with your personal life?,Are you interested in answering questions on burnout?,Why are you not interested in answering questions on burnout?,"In general, how do you feel about your time? Would you say that you feel rushed?","Pre-COVID: Overall, based on your definition of burnout, how would you rate your level of burnout?",I deal very effectively with the problems of my patients.,I feel I treat some patients as if they were impersonal objects.,I feel emotionally drained from my work.,I feel fatigued when I get up in the morning and have to face another day on the job.,I've become more callous towards people since I took this job.,I feel I'm positively influencing other people's lives through my work.,Working with people all day is really a strain for me.,I don't really care what happens to some patients.,I feel exhilarated after working closely with my patients.
1,6,Man,Hispanic/Latino,Married,Non-Tenure,,No,,,1,2,0,,,,0,,,0,,,Disagree (3),Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Disagree (3),Agree (5),Other caregiver,Other caregiver,Other caregiver,Other caregiver,Other caregiver,Always,"I feel overworked, with not enough time to spend with my family",Yes,,Always feel rushed,5 Completely burned out,Every day,Once per week,A few times per week,Every day,A few times per week,Once per week,Every day,A few times per month,A few times per month
2,6,Man,White,Married,Academic Track - Teaching,,No,,,5,5,0,,,,0,,,1,Institutional,,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Share equally,Share equally,Share equally,Share equally,Share equally,Always,,No,Survey fatigue,,,,,,,,,,,
3,6,Woman,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,No,,,3,2,4,"NIH grants,Institutional grants,Not-for-profit organizational grants,Industry trials",,,0,,,3,"Local,Regional,National",,Neither Agree or Disagree (4),Agree (5),Agree (5),Disagree (3),Disagree (3),Neither Agree or Disagree (4),I do more,I do more,I do more,I do more,I do more,Never,,No,Survey fatigue,,,,,,,,,,,
4,6,Woman,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,Medical Director ,4,9,2,"NIH grants,Medical societies,Industry trials,Other: {sourceetc}",donor,,2,Other: {levelawardetc},Departmental,5,"Local,National,International",,Agree (5),Agree (5),Agree (5),Agree (5),Neither Agree or Disagree (4),Agree (5),Share equally,Share equally,I do more,Share equally,Partner does more,Sometimes,availability for children activities,No,Survey fatigue,,,,,,,,,,,
5,6,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,Medical Director - 30% FTE support,1,0,0,,,,1,Institutional,,7,"Institutional,Local,National",,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,Sometimes,"Stress in deadlines, keeping up with tasks, answering emails and charting on patient encounters in evenings when I should be spending quality time with my husband, friends, and family",Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,Never,A few times per week,A few times per month,Never,A few times per week,A few times per month,Never,Once per week
6,6,Man,White,Married,Academic Track - Research,,No,,,25,80,50,"NIH grants,Not-for-profit organizational grants,Foundational grants,Medical societies,Industry trials",,3240000,30,"Regional,National",,100,"Institutional,Local,Regional,National,International",,Agree (5),Agree (5),Strongly Agree (6),Agree (5),Neither Agree or Disagree (4),Strongly Disagree (2),,,,,,Often,.,No,Survey fatigue,,,,,,,,,,,
7,6,Man,White,Married,Academic Track - Research,,No,,,2,2,2,"Institutional grants,Industry trials",,75000,1,Institutional,,1,Institutional,,Neither Agree or Disagree (4),Strongly Agree (6),Agree (5),Agree (5),Neither Agree or Disagree (4),Agree (5),I do more,I do more,Share equally,Partner does more,Share equally,Rarely,,Yes,,Always feel rushed,2 Slightly burned out,A few times per week,Once per month or less,A few times per year,Never,Once per month or less,Every day,A few times per month,A few times per year,A few times per week
8,6,Woman,Black or African American,Single,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,1,1,0,,,,0,,,0,,,N/A,Disagree (3),Disagree (3),Disagree (3),Disagree (3),N/A,,,,,,Often,Being stretched across many work responsibilities does not allow flexibility in my schedule to create meaningful relationships or cultivate non-medical hobbies and interests.,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per year,A few times per week,A few times per week,Once per month or less,Once per week,Once per week,Never,Once per week
9,6,Man,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching,Non-Tenure",,Yes,4,15% FTE,3,6,2,Industry trials,,,2,Institutional,,2,"Institutional,Local",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),Disagree (3),Very Strongly Disagree (1),Very Strongly Agree (7),Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Rarely,,No,Survey fatigue,,,,,,,,,,,
10,6,Woman,White,Married,"Academic Track - Research,Non-Tenure",,Yes,2,Director,4,3,0,,,,0,,,5,"Institutional,Local",,Strongly Disagree (2),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),Share equally,Share equally,Partner does more,I do more,I do more,Rarely,not possible to do required work in 40hrs per week,No,Prefer to not answer,,,,,,,,,,,
